==================================================
HEADER
File name: peer_-AA0001-nUNjDxaKL7bm.log
Creation Date/Time: 2026-08-08 12:18:06
Last Modified Date/Time: 2026-08-08 12:22:21
==================================================
BODY
Event Type      | Date/Time            | Description
ANNOUNCE        | 2026-08-08 12:21:07  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:21:08  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:21:09  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:21:09  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:21:09  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 12.68 ms
PING_SEND       | 2026-08-08 12:21:09  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:21:09  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 12.91 ms
PING_RECV       | 2026-08-08 12:21:27  | Received PING from ('127.0.0.1', 8806)
PING_RECV       | 2026-08-08 12:21:27  | Received PING from ('127.0.0.1', 8810)
ANNOUNCE        | 2026-08-08 12:21:37  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:21:38  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:21:39  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:21:39  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:21:39  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 16.53 ms
PING_SEND       | 2026-08-08 12:21:39  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:21:39  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 11.50 ms
PING_RECV       | 2026-08-08 12:21:57  | Received PING from ('127.0.0.1', 8820)
PING_RECV       | 2026-08-08 12:21:57  | Received PING from ('127.0.0.1', 8822)
ANNOUNCE        | 2026-08-08 12:22:07  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:22:08  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:22:09  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:22:09  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:22:10  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 11.45 ms
PING_SEND       | 2026-08-08 12:22:10  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:22:10  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 13.34 ms
SHUTDOWN_INIT   | 2026-08-08 12:22:21  | Keyboard interrupt received. Deregistering from tracker.
