==================================================
HEADER
File name: peer_-AA0001-WL99b7svcXnQ.log
Creation Date/Time: 2026-08-08 12:56:35
Last Modified Date/Time: 2026-08-08 13:44:51
==================================================
BODY
Event Type      | Date/Time            | Description
PORT_BUSY       | 2026-08-08 13:10:26  | Port 6882 in use. Trying next...
LISTENER_START  | 2026-08-08 13:10:26  | Peer listening for direct connections on port 6883
FILE_CHECK      | 2026-08-08 13:10:27  | Determined status as LEECHER for Transferring_These_Files/sample3.png
FILE_CHECK      | 2026-08-08 13:10:28  | Determined status as LEECHER for Transferring_These_Files
SYSTEM_READY    | 2026-08-08 13:10:29  | All torrent threads processed. Entering heartbeat loop.
SHUTDOWN_INIT   | 2026-08-08 13:10:45  | Keyboard interrupt received. Deregistering from tracker.
ANNOUNCE        | 2026-08-08 13:10:48  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
NEW_PEER        | 2026-08-08 13:10:48  | [Transferring_These_Files/sample3.png] Discovered new peer 127.0.0.1:6883 from tracker update
PING_SEND       | 2026-08-08 13:10:48  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:10:48  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6883 | RTT: 12.50 ms
ANNOUNCE        | 2026-08-08 13:10:49  | [Transferring_These_Files] Sending periodic update to tracker...
NEW_PEER        | 2026-08-08 13:10:49  | [Transferring_These_Files] Discovered new peer 127.0.0.1:6883 from tracker update
PING_SEND       | 2026-08-08 13:10:49  | [Transferring_These_Files] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:10:49  | [Transferring_These_Files] Received PONG from 127.0.0.1:6883 | RTT: 14.85 ms
HEARTBEAT_SYNC  | 2026-08-08 13:10:50  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:10:50  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:10:50  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 15.50 ms
SHUTDOWN_INIT   | 2026-08-08 13:10:54  | Keyboard interrupt received. Deregistering from tracker.
PORT_BUSY       | 2026-08-08 13:11:27  | Port 6881 in use. Trying next...
LISTENER_START  | 2026-08-08 13:11:27  | Peer listening for direct connections on port 6882
FILE_CHECK      | 2026-08-08 13:11:28  | Determined status as LEECHER for Transferring_These_Files/sample3.png
FILE_CHECK      | 2026-08-08 13:11:29  | Determined status as LEECHER for Transferring_These_Files
SYSTEM_READY    | 2026-08-08 13:11:30  | All torrent threads processed. Entering heartbeat loop.
HANDSHAKE_RECV  | 2026-08-08 13:11:46  | Handshake verified from -AA0001-lyY8i2fmn47q
HANDSHAKE_RECV  | 2026-08-08 13:11:47  | Handshake verified from -AA0001-lyY8i2fmn47q
ANNOUNCE        | 2026-08-08 13:11:58  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
NEW_PEER        | 2026-08-08 13:11:58  | [Transferring_These_Files/sample3.png] Discovered new peer 127.0.0.1:6883 from tracker update
PING_SEND       | 2026-08-08 13:11:58  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:11:58  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6883 | RTT: 12.12 ms
ANNOUNCE        | 2026-08-08 13:11:59  | [Transferring_These_Files] Sending periodic update to tracker...
NEW_PEER        | 2026-08-08 13:11:59  | [Transferring_These_Files] Discovered new peer 127.0.0.1:6883 from tracker update
PING_SEND       | 2026-08-08 13:11:59  | [Transferring_These_Files] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:11:59  | [Transferring_These_Files] Received PONG from 127.0.0.1:6883 | RTT: 13.27 ms
HEARTBEAT_SYNC  | 2026-08-08 13:12:00  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:12:00  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:12:00  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 28.02 ms
PING_RECV       | 2026-08-08 13:12:18  | Received PING from ('127.0.0.1', 11128)
ANNOUNCE        | 2026-08-08 13:12:28  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:12:29  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:12:30  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:12:30  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:12:30  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 15.00 ms
PORT_BUSY       | 2026-08-08 13:12:45  | Port 6881 in use. Trying next...
PORT_BUSY       | 2026-08-08 13:12:45  | Port 6882 in use. Trying next...
LISTENER_START  | 2026-08-08 13:12:45  | Peer listening for direct connections on port 6883
FILE_CHECK      | 2026-08-08 13:12:46  | Determined status as LEECHER for Transferring_These_Files/sample3.png
FILE_CHECK      | 2026-08-08 13:12:47  | Determined status as SEEDER for Transferring_These_Files
SYSTEM_READY    | 2026-08-08 13:12:48  | All torrent threads processed. Entering heartbeat loop.
SHUTDOWN_INIT   | 2026-08-08 13:12:57  | Keyboard interrupt received. Deregistering from tracker.
PORT_BUSY       | 2026-08-08 13:17:39  | Port 6881 in use. Trying next...
LISTENER_START  | 2026-08-08 13:17:39  | Peer listening for direct connections on port 6882
FILE_CHECK      | 2026-08-08 13:17:40  | Determined status as LEECHER for Transferring_These_Files/sample3.png
FILE_CHECK      | 2026-08-08 13:17:41  | Determined status as LEECHER for Transferring_These_Files
SYSTEM_READY    | 2026-08-08 13:17:42  | All torrent threads processed. Entering heartbeat loop.
HANDSHAKE_RECV  | 2026-08-08 13:17:47  | Handshake verified from -AA0001-lyY8i2fmn47q
HANDSHAKE_RECV  | 2026-08-08 13:17:48  | Handshake verified from -AA0001-lyY8i2fmn47q
SHUTDOWN_INIT   | 2026-08-08 13:18:05  | Keyboard interrupt received. Deregistering from tracker.
PORT_BUSY       | 2026-08-08 13:18:08  | Port 6881 in use. Trying next...
LISTENER_START  | 2026-08-08 13:18:08  | Peer listening for direct connections on port 6882
FILE_CHECK      | 2026-08-08 13:18:09  | Determined status as LEECHER for Transferring_These_Files/sample3.png
FILE_CHECK      | 2026-08-08 13:18:10  | Determined status as LEECHER for Transferring_These_Files
SYSTEM_READY    | 2026-08-08 13:18:11  | All torrent threads processed. Entering heartbeat loop.
HANDSHAKE_RECV  | 2026-08-08 13:18:18  | Handshake verified from -AA0001-lyY8i2fmn47q
MSG_RECV        | 2026-08-08 13:18:18  | Received Bitfield from 127.0.0.1:11342
HANDSHAKE_RECV  | 2026-08-08 13:18:19  | Handshake verified from -AA0001-lyY8i2fmn47q
MSG_RECV        | 2026-08-08 13:18:19  | Received Bitfield from 127.0.0.1:11348
ANNOUNCE        | 2026-08-08 13:18:39  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
NEW_PEER        | 2026-08-08 13:18:39  | [Transferring_These_Files/sample3.png] Discovered new peer 127.0.0.1:6883 from tracker update
PING_SEND       | 2026-08-08 13:18:39  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:18:39  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6883 | RTT: 11.56 ms
ANNOUNCE        | 2026-08-08 13:18:40  | [Transferring_These_Files] Sending periodic update to tracker...
NEW_PEER        | 2026-08-08 13:18:40  | [Transferring_These_Files] Discovered new peer 127.0.0.1:6883 from tracker update
PING_SEND       | 2026-08-08 13:18:40  | [Transferring_These_Files] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:18:40  | [Transferring_These_Files] Received PONG from 127.0.0.1:6883 | RTT: 29.13 ms
HEARTBEAT_SYNC  | 2026-08-08 13:18:41  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:18:41  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:18:41  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 26.82 ms
PING_RECV       | 2026-08-08 13:18:50  | Received PING from ('127.0.0.1', 11366)
ANNOUNCE        | 2026-08-08 13:19:09  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:19:10  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:19:11  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:19:11  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:19:11  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 20.12 ms
PING_RECV       | 2026-08-08 13:19:20  | Received PING from ('127.0.0.1', 11386)
ANNOUNCE        | 2026-08-08 13:19:39  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:19:40  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:19:41  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:19:41  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:19:41  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 19.17 ms
PING_RECV       | 2026-08-08 13:19:50  | Received PING from ('127.0.0.1', 11404)
ANNOUNCE        | 2026-08-08 13:20:09  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:20:10  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:20:11  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:20:11  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:20:11  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 15.42 ms
PING_RECV       | 2026-08-08 13:20:21  | Received PING from ('127.0.0.1', 11419)
ANNOUNCE        | 2026-08-08 13:20:39  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:20:40  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:20:46  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:20:46  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:20:46  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 12.08 ms
PING_RECV       | 2026-08-08 13:20:51  | Received PING from ('127.0.0.1', 11435)
ANNOUNCE        | 2026-08-08 13:21:09  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:21:10  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:21:16  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:21:16  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:21:16  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 20.77 ms
PING_RECV       | 2026-08-08 13:21:21  | Received PING from ('127.0.0.1', 11465)
ANNOUNCE        | 2026-08-08 13:21:39  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:21:40  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:21:46  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:21:46  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:21:46  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 14.58 ms
PING_RECV       | 2026-08-08 13:21:52  | Received PING from ('127.0.0.1', 11477)
ANNOUNCE        | 2026-08-08 13:22:09  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:22:10  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:22:16  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:22:16  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 13:22:16  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 15.75 ms
PING_RECV       | 2026-08-08 13:22:22  | Received PING from ('127.0.0.1', 11490)
ANNOUNCE        | 2026-08-08 13:22:39  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:22:41  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:22:46  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:22:46  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
